plotid,quadrant,layer,plantid,percent_cover,date,plot_age,abandoned,notes
2e,1,ground,HYACNON,15,2023-05-23,8,N,
2e,1,ground,RUBUFRU,5,2023-05-23,8,N,pilated-leaved-blackberry
2e,1,ground,CERACLA,10,2023-05-23,8,N,climbing-corydalis
2e,1,ground,DRYODIL,2,2023-05-23,8,N,
2e,1,shrub,RUBUFRU,10,2023-05-23,8,N,
2e,2,ground,HYACNON,30,2023-05-23,8,N,
2e,2,ground,RUBUFRU,15,2023-05-23,8,N,
2e,2,ground,CERACLA,5,2023-05-23,8,N,
2e,2,ground,DRYODIL,2,2023-05-23,8,N,
2e,3,ground,HYACNON,80,2023-05-23,8,N,
2e,3,ground,RUBUFRU,5,2023-05-23,8,N,
2e,3,ground,CERACLA,2,2023-05-23,8,N,
2e,3,ground,DRYODIL,2,2023-05-23,8,N,
2e,3,ground,EPILMON,0.1,2023-05-23,8,N,broad-leaved-willowherb
2e,3,ground,RUMESAN,0.1,2023-05-23,8,N,wood-dock
2e,3,ground,CIRSPAL,0.1,2023-05-23,8,N,marsh-thistle
2e,4,ground,HYACNON,70,2023-05-23,8,N,
2e,4,ground,RUBUFRU,15,2023-05-23,8,N,
2e,4,ground,CERACLA,2,2023-05-23,8,N,
2e,4,ground,DRYODIL,2,2023-05-23,8,N,
2e,2,shrub,RUBUFRU,40,2023-05-23,8,N,
2e,2,shrub,BETUPEN,1,2023-05-23,8,N,
2e,2,shrub,CASTSAV,1,2023-05-23,8,N,
2e,3,shrub,RUBUFRU,5,2023-05-23,8,N,
2e,4,shrub,DRYODIL,1,2023-05-23,8,N,
2e,4,shrub,RUBUFRU,5,2023-05-23,8,N,
2e,4,shrub,CASTSAV,2,2023-05-23,8,N,
1caa,1,ground,HYACNON,90,2023-05-24,0,N,
1caa,1,ground,RUBUSPP,2,2023-05-24,0,N,
1caa,1,ground,BETUPUB,0.1,2023-05-24,0,N,
1caa,1,ground,ATHYFIL,5,2023-05-24,0,N,
1caa,1,ground,ACERPSE,1,2023-05-24,0,N,
1caa,1,ground,BLECSPI,0.1,2023-05-24,0,N,deer-fern
1caa,1,shrub,ACERPSE,0.1,2023-05-24,0,N,
1caa,1,shrub,ATHYFIL,0.1,2023-05-24,0,N,
1caa,2,ground,HYACNON,80,2023-05-24,0,N,
1caa,2,ground,RUBUSPP,2,2023-05-24,0,N,
1caa,2,ground,ATHYFIL,5,2023-05-24,0,N,
1caa,2,ground,BETUPUB,0.1,2023-05-24,0,N,
