age,year,shannon_ground,shannon_shrub,simpson_ground,simpson_shrub,pielou_even_ground,pielou_even_shrub,cant_richness,cant,mean_canopy_closure,mean_dbh,mean_height,SOC_mean,mean_closure
0,2023,0.4712609,1.332179,0.193196363,0.72,0.22662861,0.960964,8,1caa,0.071625,0,0,7.076,0.07162465
1,2024,1.7385174,1.1931435,0.725283623,0.643547206,0.54703837,0.6659061,24,1caa,0.015651,0.8346939,2.66,7.89575,0.01565075
2,2023,1.6801468,0.5213291,0.756899876,0.238159579,0.58129091,0.2507063,18,1o,0.302657,1.3826784,3.31,4.9765,0.30265732
3,2023,1.5751008,0.1957456,0.748445643,0.074575836,0.53494087,0.1092477,21,1gc,0.415664,1.15,2.48,9.835,0.41566445
3,2024,0.8877636,0.698893,0.34776367,0.379708852,0.32782389,0.4342466,15,1o,0.565304,1.5659091,4.5,3.649,0.56530365
4,2023,1.8165563,1.0077982,0.763947171,0.500462946,0.67079861,0.4202845,17,1gb,0.788292,2.0026145,4.04,6.2675,0.78829159
4,2024,1.7912128,1.0865276,0.790905975,0.599693559,0.63221953,0.6064026,17,1gc,0.338849,0.9231694,3.11,8.4035,0.33884923
5,2024,1.0127255,1.303464,0.457854307,0.667840056,0.46091122,0.6268337,9,1gb,0.681031,2.2068966,4.4,4.199,0.68103093
6,2023,1.0742544,1.0955289,0.575337964,0.559463634,0.40705989,0.5268381,20,1i,0.744703,2.2959206,5.12,17.328,0.744703
7,2024,0.9042907,1.0359717,0.551807117,0.517116528,0.43487189,0.5323841,12,1i,0.741911,2.7363636,5.41,11.648,0.74191139
8,2023,0.8128012,0.3442871,0.417888386,0.145325444,0.41769717,0.2483507,9,2e,0.904828,4.3362885,9.7,6.67825,0.90482832
9,2024,0.5270922,0.7410828,0.254807212,0.430274306,0.32750077,0.5345783,6,2e,0.822725,4.5445545,8.64,9.11,0.82272477
10,2023,0.1453527,0.8885448,0.049072197,0.548747307,0.08112288,0.6409496,6,1mb,0.962122,3.7204193,10.18,6.90925,0.96212175
11,2024,0.3088502,1.1321125,0.436733655,0.602253503,0.15871762,0.703421,7,1mb,0.884949,6.1586207,9.73,3.83775,0.88494869
11,2023,0.7826557,1.1207531,0.141302853,0.629303089,0.43680846,0.6963631,7,1ma,0.940293,6.9571103,9.01,9.4925,0.94029321
12,2024,0.573973,1.2942064,0.278879171,0.699396307,0.24927329,0.7223103,11,1ma,0.899122,7.2636364,9.533333,9.93325,0.89912219
14,2023,1.1659918,1.0075699,0.529714808,0.515565155,0.56072352,0.5623355,9,1cab,0.910892,6.288492,8.61,8.2875,0.91089212
15,2024,1.0704321,0.9456623,0.504545577,0.523461076,0.59741951,0.5277842,7,1cab,0.796559,7.0397143,8.53,7.6955,0.79655915
abandoned,2023,1.2244181,0,0.583987058,0.768133175,0.58882066,0,8,1f,0.82250119,12.5944164,12.27,12.6025,0.82250119
abandoned,2023,0.7832996,1.4469641,0.37795995,0.278709433,0.27647038,0.8075661,17,1ga,0.95263164,7.4193227,11.18,9.25825,0.95263164
abandoned,2023,0.3444056,0.3136199,0.138619066,0.061073606,0.16562409,0.2262289,9,1h,0.93718374,11.1505689,13.48,11.7675,0.93718374
20,2023,0.9963163,1.0962291,0.432694693,0.5633503,0.43269469,0.5633503,12,1j,0.91269104,6.5430947,11.42,5.253,0.91269104
abandoned,2023,0.2680449,0.5560929,0.063274593,0.109159689,0.14959872,0.34552,8,1n,0.90752248,9.9097738,13.79,26.904,0.90752248
abandoned,2023,0.1663645,0.3077737,0.101357341,0.526429187,0.10336808,0.2220118,5,1mc,0.96776679,8.6098272,14.84,6.852,0.96776679
abandoned,2024,1.7785276,0.8884643,0,0.64089155,0.74170361,0.6408916,11,1f,0.68302103,13.6205882,11.333333,22.45425,0.68302103
abandoned,2024,0.6940407,1.8067555,0.807566065,0.784663938,0.25628798,0.7846639,16,1ga,0.70850169,7.8744681,10.94,7.775,0.70850169
abandoned,2024,0.171811,0.2738644,0.226228941,0.170161521,0.09588955,0.1701615,8,1h,0.82340185,11.004,13.322222,11.9185,0.82340185
21,2024,1.6094587,1.0682135,0.671196394,0.663718367,0.67119639,0.6637184,12,1j,0.85182815,7.0259259,12.22,4.95275,0.85182815
abandoned,2024,0.9321511,0.4666104,0.222011807,0.264506287,0.47903089,0.3365883,7,1n,0.83445758,10.5553846,12.69,10.339,0.83445758
abandoned,2024,0.2548605,0.3666836,0.345519959,0.200107304,0.15835376,0.2645063,5,1mc,0.85622455,10.0214286,13.92,5.94025,0.85622455
